work_orders,Process_numbers,section_names,status,working_hours,priority
FA2303100048,1,AW,1,0.3,741
FA2303100049,1,AW,1,0.8,742
FA2303100050,1,G,1,0.7,743
FA2303100053,1,AW,1,0.3,744
FA2303100055,1,AW,1,0.2,745
FA2303100056,1,AW,1,0.6,746
FA2303100057,1,AW,1,0.3,747
FA2303100058,1,AW,1,0.4,748
FA2303130381,1,AW,1,0.6,749
FA2303130414,1,ES,1,1.8,750
FA2303130415,1,G,1,2,751
FA2303130459,1,AW,1,0.5,752
FA2303130460,1,AW,1,0.5,753
FA2303130468,1,AW,1,4,754
FA2303130469,1,AW,1,2,755
FA2303130492,1,G,1,2,756
FA2303130493,1,G,1,2.5,757
FA2303130495,1,EP,1,1.5,758
FA2302120004,2,M,1,2,759
FA2302190042,2,M,1,2,760
FA2302190043,2,M,1,1.8,761
FA2302190044,2,M,1,2.5,762
FA2302190046,2,M,1,1.8,763
FA2302190050,2,M,1,3,764
FA2302190051,2,M,1,3,765
FA2302190052,2,M,1,3,766
FA2302190057,2,M,1,3,767
FA2302190058,2,M,1,2.5,768
FA2302190060,2,M,1,2.2,769
FA2302190061,2,M,1,2.2,770
FA2302190062,2,M,1,2.5,771
FA2302190063,2,M,1,3,772
FA2302190066,2,M,1,1.8,773
FA2302190075,2,M,1,1.8,774
FA2302190077,2,M,1,1.8,775
FA2302190078,2,M,1,1.5,776
FA2302190081,2,M,1,1.5,777
FA2302190082,2,M,1,1.5,778
FA2302190089,2,M,1,4,779
FA2302190092,2,M,1,4,780
FA2302190093,2,M,1,3,781
FA2302220102,2,M,1,1.5,782
FA2302220104,2,M,1,1.5,783
FA2302220105,2,M,1,2,784
FA2302220108,2,M,1,2,785
FA2302220109,2,M,1,4,786
FA2302220110,2,M,1,4,787
FA2302220111,2,M,1,3,788
FA2302220125,2,M,1,2,789
FA2302220126,2,M,1,2,790
FA2302220127,2,M,1,2.5,791
FA2302220147,2,M,1,4,792
FA2302220148,2,M,1,4,793
FA2302220154,2,M,1,3.5,794
FA2302220159,2,M,1,3,795
FA2302220160,2,M,1,3.5,796
FA2303010175,2,MC,1,3,797
FA2303010176,2,MC,1,7,798
FA2303010177,2,MC,1,7,799
FA2303010178,2,MC,1,6,800
FA2303010179,2,MC,1,3,801
FA2303010180,2,BD,1,9,802
FA2303010181,2,MC,1,7,803
FA2303010182,2,MC,1,4,804
FA2302200067,3,G,1,1,805
FA2302200068,3,G,1,1,806
FA2302200036,4,G,1,1,807
FA2302200037,4,G,1,1,808
FA2303080207,4,G,1,1.5,809
FA2303080208,4,G,1,1.5,810
FA2303080209,4,G,1,1.2,811
FA2303080210,4,G,1,2,812
FA2303080211,4,G,1,1,813
FA2303110029,4,G,1,2,814
FA2302200062,5,CNC,1,1.5,815
FA2302200066,5,CNC,1,1.5,816
FA2302200065,6,EP,1,1,817
FA2302160753,8,ES,1,3.5,818
FA2302170188,8,ES,1,3.5,819
FA2303020345,1,AW,1,1,820
FA2303020346,1,AW,1,0.5,821
FA2303020347,1,AW,1,0.5,822
FA2303020348,1,AW,1,0.5,823
FA2303020349,1,AW,1,0.5,824
FA2303020350,1,AW,1,0.5,825
FA2303020351,1,AW,1,0.6,826
FA2303020354,1,AW,1,0.5,827
FA2303020356,1,AW,1,0.5,828
FA2303110002,1,EM,1,4,829
FA2303110003,1,EM,1,5,830
FA2303110004,1,EM,1,5,831
FA2303110005,1,EM,1,5,832
FA2303110074,1,AW,1,0.4,833
FA2303110075,1,AW,1,0.8,834
FA2303110076,1,AW,1,0.8,835
FA2303110077,1,AW,1,0.8,836
FA2303110078,1,AW,1,0.8,837
FA2303110079,1,AW,1,0.4,838
FA2303110080,1,AW,1,0.4,839
FA2303110081,1,AW,1,0.8,840
FA2303110082,1,AW,1,0.8,841
FA2303110083,1,AW,1,0.8,842
FA2303120001,1,MC,1,36,843
FA2303120071,1,EPM,1,0.01,844
FA2302010010,2,BD,1,2,845
FA2303020357,2,AW,1,0.5,846
FA2303020358,2,AW,1,0.5,847
FA2303020362,2,G,1,2,848
FA2303020363,2,G,1,2,849
FA2303050083,2,M,1,4.5,850
FA2303050086,2,M,1,4.5,851
FA2303120003,3,WE,1,24,852
FA2302120013,4,G,1,5,853
FA2302120014,4,G,1,5,854
FA2302220165,4,GP,1,8,855
FA2302220308,5,G,1,3.5,856
FA2303110092,1,RM,1,0.3,857
FA2303120020,1,MC,1,5,858
FA2303120024,1,ES,1,3.5,859
FA2303120027,1,AW,1,0.6,860
FA2303120028,1,AW,1,0.3,861
FA2303120029,1,AW,1,0.2,862
FA2303120031,1,ES,1,2.5,863
FA2303120034,1,AW,1,0.6,864
FA2303120074,1,RM,1,0.5,865
FA2303120075,1,RM,1,0.5,866
FA2303130377,1,CNC,1,4,867
FA2303130411,1,AW,1,1,868
FA2303130428,1,RM,1,0.5,869
FA2303130477,1,ES,1,6,870
FA2303130479,1,AW,1,0.6,871
FA2303130480,1,AW,1,1,872
FA2303130481,1,AW,1,1,873
FA2303130482,1,AW,1,1,874
FA2303130483,1,GP,1,2,875
FA2302180286,2,GP,1,1.5,876
FA2302190035,2,M,1,3,877
FA2302190038,2,M,1,13,878
FA2302200070,2,ES,1,2,879
FA2302200071,2,ES,1,2,880
FA2302200072,2,ES,1,2,881
FA2303050087,2,M,1,4,882
FA2303050088,2,M,1,4,883
FA2303110093,2,M,1,2,884
FA2303110094,2,M,1,2,885
FA2303110095,2,M,1,4,886
FA2303120022,2,CNC,1,2.5,887
FA2303130378,2,M,1,1.5,888
FA2303130405,2,M,1,3,889
FA2303130423,2,M,1,1.5,890
FA2303130425,2,M,1,1.5,891
FA2302200131,3,G,1,1,892
FA2302200132,3,G,1,1,893
FA2303120023,3,CNC,1,2.3,894
FA2303120026,3,ES,1,1.5,895
FA2302180342,4,G,1,1,896
FA2302180343,4,G,1,1,897
FA2302180344,4,G,1,1,898
FA2302190201,4,M,1,5,899
FA2302190202,4,M,1,5,900
FA2302200102,4,G,1,1,901
FA2302200118,4,G,1,1,902
FA2302200119,4,G,1,1,903
FA2302200120,4,G,1,1,904
FA2302200133,4,G,1,1,905
FA2302220099,4,M,1,16,906
FA2302180284,5,CNC,1,12,907
FA2302180285,5,CNC,1,12,908
FA2302200117,5,CNC,1,1.5,909
FA2302200130,5,CNC,1,1.5,910
FA2302200116,6,EP,1,1,911
FA2302200129,6,EP,1,1,912
FA2302180339,9,ES,1,3,913
FA2302180341,9,ES,1,3,914
FA2303130382,1,AW,1,2,915
FA2303130383,1,CNC,1,2,916
FA2302070086,2,G,1,0.1,917
FA2302190127,2,M,1,5,918
FA2302220301,3,WE,1,7.5,919
FA2302080333,4,G,1,5,920
FA2302080334,4,G,1,6,921
FA2302120122,4,G,1,3,922
FA2302190117,4,M,1,2.5,923
FA2302190118,4,M,1,2.5,924
FA2302220097,4,M,1,2,925
FA2302220118,4,GP,1,6,926
FA2302220119,4,GP,1,5,927
FA2302220296,4,CNC,1,8,928
FA2302200456,5,CNC,1,16,929
FA2302220304,5,CNC,1,6,930
FA2303120050,1,RM,1,1,931
FA2303120052,1,RM,1,1,932
FA2303120076,1,RM,1,0.5,933
FA2303120077,1,RM,1,0.5,934
FA2303130013,1,M,1,3,935
FA2303130014,1,M,1,1.5,936
FA2303130015,1,M,1,1.5,937
FA2303130016,1,M,1,1.5,938
FA2303130017,1,M,1,3,939
FA2303130018,1,M,1,2.5,940
FA2303130020,1,M,1,2,941
FA2303130417,1,G,1,2,942
FA2303130418,1,ES,1,1.8,943
FA2303130426,1,ES,1,6,944
FA2303130429,1,AW,1,1.2,945
FA2303130430,1,CNC,1,8,946
FA2303130431,1,WE,1,1.8,947
FA2303130432,1,CNC,1,2,948
FA2303130434,1,AW,1,0.2,949
FA2303130435,1,AW,1,0.2,950
FA2303130436,1,AW,1,0.2,951
FA2303130437,1,AW,1,0.2,952
FA2303130438,1,G,1,1.8,953
FA2303130451,1,M,1,1,954
FA2303130453,1,AW,1,0.9,955
FA2303130454,1,AW,1,0.6,956
FA2302190083,2,M,1,5,957
FA2302190085,2,M,1,5,958
FA2302190108,2,M,1,14,959
FA2302190176,2,M,1,6,960
FA2302220146,2,M,1,6,961
FA2302220161,2,M,1,2.5,962
FA2302220291,2,M,1,2.5,963
FA2302220299,2,M,1,2.5,964
FA2302220321,2,M,1,4,965
FA2303120051,2,EP,1,1,966
FA2302200382,3,GP,1,2,967
FA2302200466,3,GP,1,2,968
FA2302220145,3,GP,1,4,969
FA2302220170,3,GP,1,2.5,970
FA2302220292,3,GP,1,2,971
FA2302220293,3,WE,1,5.5,972
FA2302220294,3,WE,1,2,973
FA2302220295,3,WE,1,2,974
FA2302220302,3,WE,1,5.5,975
FA2302220307,3,WE,1,4.5,976
FA2302220334,3,WE,1,3,977
FA2303120049,3,WE,1,1.5,978
FA2302120120,4,G,1,3,979
FA2302120123,4,G,1,1.5,980
FA2302120125,4,G,1,6,981
FA2302180452,4,G,1,1,982
FA2302180453,4,G,1,1,983
FA2302180454,4,G,1,1,984
FA2302190087,4,GP,1,3,985
FA2302190088,4,GP,1,3,986
FA2302220095,4,G,1,3,987
FA2302220098,4,G,1,3,988
FA2302220114,4,GP,1,3,989
FA2302220115,4,GP,1,3,990
FA2302220116,4,GP,1,3,991
FA2302220120,4,GP,1,3,992
FA2302220166,4,GP,1,4,993
FA2302220283,4,G,1,3,994
FA2302220284,4,G,1,3,995
FA2302220285,4,G,1,3,996
FA2302220286,4,G,1,3,997
FA2302220287,4,G,1,3,998
FA2302220288,4,G,1,3,999
FA2302220289,4,G,1,3,1000
FA2302220298,4,G,1,3,1001
FA2302220303,4,G,1,3,1002
FA2302220305,4,G,1,3.5,1003
FA2302220315,4,G,1,2.5,1004
FA2302220316,4,G,1,2.5,1005
FA2302220317,4,G,1,5,1006
FA2302220318,4,G,1,1,1007
FA2302220319,4,G,1,2.5,1008
FA2302220320,4,G,1,3,1009
FA2302220322,4,G,1,4.5,1010
FA2302220326,4,GP,1,5,1011
FA2302220332,4,GP,1,4,1012
FA2302180436,5,CNC,1,2,1013
FA2302180438,5,CNC,1,1.5,1014
FA2302190041,5,GP,1,4,1015
FA2302220100,5,G,1,8,1016
FA2302220155,5,GP,1,3.5,1017
FA2302220327,5,G,1,2.5,1018
FA2302220328,5,G,1,2.5,1019
FA2302220330,5,G,1,1.5,1020
FA2302220331,5,G,1,1.5,1021
FA2302190113,6,CNC,1,10,1022
FA2302190114,6,CNC,1,10,1023
FA2303050077,6,ES,1,6,1024
FA2212230157,8,ZL,1,0.1,1025
FA2302200372,8,ES,1,3.5,1026
FA2303100092,1,CNC,1,5,1027
FA2303100093,1,CNC,1,5,1028
FA2303100097,1,G,1,1.5,1029
FA2302190036,2,M,1,1.5,1030
FA2302190037,2,M,1,1.5,1031
FA2302190084,2,M,1,1.8,1032
FA2302190086,2,M,1,1.8,1033
FA2302190096,2,M,1,2,1034
FA2302190097,2,M,1,2.5,1035
FA2302190104,2,M,1,1,1036
FA2302190105,2,M,1,1,1037
FA2302190106,2,M,1,1,1038
FA2302190107,2,M,1,5,1039
FA2302190126,2,M,1,2.5,1040
FA2302190128,2,M,1,2,1041
FA2302190129,2,M,1,1.8,1042
FA2302190130,2,M,1,2.5,1043
FA2302190132,2,M,1,1.8,1044
FA2302190133,2,M,1,2.5,1045
FA2302190135,2,M,1,3,1046
FA2302190136,2,M,1,3,1047
FA2302190137,2,M,1,3,1048
FA2302190138,2,M,1,3,1049
FA2302190143,2,M,1,3,1050
FA2302190144,2,M,1,2.5,1051
FA2302190146,2,M,1,2.2,1052
FA2302190147,2,M,1,2.2,1053
FA2302190148,2,M,1,2.5,1054
FA2302190149,2,M,1,3,1055
FA2302190152,2,M,1,1.8,1056
FA2302190153,2,M,1,1.5,1057
FA2302190154,2,M,1,1.8,1058
FA2302190161,2,M,1,1.8,1059
FA2302190162,2,M,1,1.5,1060
FA2302190163,2,M,1,1.8,1061
FA2302190164,2,M,1,1.5,1062
FA2302190166,2,M,1,1.5,1063
FA2302190167,2,M,1,1.5,1064
FA2302190168,2,M,1,1.5,1065
FA2302190175,2,M,1,4,1066
FA2302190178,2,M,1,4,1067
FA2302190179,2,M,1,3,1068
FA2302190186,2,M,1,4,1069
FA2302220143,2,M,1,3,1070
FA2302220144,2,M,1,2.5,1071
FA2302220149,2,M,1,1.5,1072
FA2302220150,2,M,1,1,1073
FA2302220151,2,M,1,1.5,1074
FA2302220152,2,M,1,1,1075
FA2302220333,2,M,1,1.2,1076
FA2303050033,2,M,1,3.5,1077
FA2303050035,2,M,1,3.5,1078
FA2303050036,2,M,1,3,1079
FA2303050038,2,M,1,1.3,1080
FA2303050040,2,M,1,1.3,1081
FA2303050041,2,M,1,1.3,1082
FA2303100094,2,BD,1,1.5,1083
FA2302190095,3,G,1,2.5,1084
FA2302190101,3,WE,1,1.5,1085
FA2302190102,3,WE,1,2,1086
FA2302190103,3,WE,1,6,1087
FA2302190110,3,WE,1,2.5,1088
FA2302220113,3,G,1,1.5,1089
FA2302220140,3,GP,1,1.5,1090
FA2302220156,3,G,1,3,1091
FA2302220169,3,G,1,2,1092
FA2303100102,3,G,1,3,1093
FA2302190045,4,G,1,2,1094
FA2302190048,4,G,1,2,1095
FA2302190049,4,G,1,2,1096
FA2302190055,4,G,1,1.3,1097
FA2302190056,4,G,1,1.3,1098
FA2302190064,4,G,1,1.5,1099
FA2302190065,4,G,1,1.5,1100
FA2302190069,4,G,1,1.3,1101
FA2302190070,4,G,1,1.3,1102
FA2302190071,4,G,1,1.3,1103
FA2302190072,4,G,1,1.3,1104
FA2302190073,4,G,1,1.5,1105
FA2302190079,4,G,1,1.5,1106
FA2302190098,4,GP,1,5,1107
FA2302190125,4,M,1,9,1108
FA2302220096,4,G,1,3,1109
FA2302220101,4,GP,1,1.5,1110
FA2302220103,4,GP,1,1.5,1111
FA2302220106,4,GP,1,1.5,1112
FA2302220112,4,GP,1,1.5,1113
FA2302220122,4,G,1,1.3,1114
FA2302220123,4,GP,1,1.3,1115
FA2302220129,4,G,1,1.5,1116
FA2302220130,4,G,1,1.5,1117
FA2302220131,4,G,1,1.5,1118
FA2302220134,4,G,1,2,1119
FA2302220135,4,G,1,2,1120
FA2302220136,4,G,1,2,1121
FA2302220137,4,GP,1,2.5,1122
FA2302220138,4,GP,1,3,1123
FA2302220139,4,GP,1,2.5,1124
FA2302220141,4,GP,1,2,1125
FA2302220153,4,GP,1,1.5,1126
FA2302220158,4,G,1,3,1127
FA2302220168,4,G,1,1.5,1128
FA2302220282,4,G,1,1,1129
FA2302220297,4,G,1,3,1130
FA2302220300,4,G,1,2.5,1131
FA2302220310,4,G,1,2.5,1132
FA2302220311,4,G,1,2.5,1133
FA2302220312,4,G,1,2.5,1134
FA2302220313,4,G,1,2.5,1135
FA2302220314,4,G,1,2.5,1136
FA2303030021,4,CNC,1,14,1137
FA2303100098,4,G,1,1.5,1138
FA2303100099,4,G,1,1.5,1139
FA2303100100,4,G,1,1.5,1140
FA2302220124,5,WE,1,3,1141
FA2302220128,5,WE,1,2,1142
FA2302220132,5,WE,1,3,1143
FA2302220133,5,WE,1,2.5,1144
FA2303120072,1,RM,1,1,1145
FA2302220362,4,M,1,2.5,1146
FA2302190121,2,M,1,3,1147
FA2302190124,2,M,1,13,1148
FA2302220379,4,GP,1,5,1149
FA2302220350,2,M,1,2.5,1150
FA2302220355,3,WE,1,7.5,1151
FA2302220380,3,WE,1,7,1152
FA2302220384,3,WE,1,10,1153
FA2302220385,3,WE,1,10,1154
FA2302190199,4,M,1,2.5,1155
FA2302190200,4,M,1,2.5,1156
FA2302220358,4,G,1,5,1157
FA2302220381,4,GP,1,5,1158
FA2303090091,1,RM,1,0.3,1159
FA2303100089,1,AW,1,0.6,1160
FA2302190169,2,M,1,5,1161
FA2302190171,2,M,1,5,1162
FA2302190194,2,M,1,14,1163
FA2302220345,2,M,1,2.5,1164
FA2302220353,2,M,1,2.5,1165
FA2302220375,2,M,1,4,1166
FA2302280320,2,M,1,4,1167
FA2303050090,2,M,1,3,1168
FA2302220335,3,WE,1,3.5,1169
FA2302220336,3,WE,1,3.5,1170
FA2302220337,3,WE,1,3.5,1171
FA2302220338,3,WE,1,3.5,1172
FA2302220339,3,WE,1,3.5,1173
FA2302220340,3,WE,1,3.5,1174
FA2302220341,3,WE,1,4,1175
FA2302220342,3,WE,1,4,1176
FA2302220343,3,WE,1,4,1177
FA2302220344,3,WE,1,3,1178
FA2302220346,3,GP,1,2,1179
FA2302220347,3,WE,1,5.5,1180
FA2302220348,3,WE,1,2,1181
FA2302220349,3,WE,1,2,1182
FA2302220351,3,WE,1,2,1183
FA2302220352,3,WE,1,2,1184
FA2302220354,3,WE,1,2,1185
FA2302220356,3,WE,1,5.5,1186
FA2302220357,3,WE,1,3,1187
FA2302220359,3,WE,1,5,1188
FA2302220360,3,WE,1,4.5,1189
FA2302220361,3,WE,1,4.5,1190
FA2302220369,3,WE,1,3,1191
FA2302220372,3,WE,1,5,1192
FA2302220373,3,WE,1,2.5,1193
FA2302220376,3,WE,1,1.5,1194
FA2302220388,3,WE,1,3,1195
FA2303050002,3,WE,1,2,1196
FA2303050003,3,WE,1,2,1197
FA2303050004,3,WE,1,2.5,1198
FA2303050006,3,WE,1,2,1199
FA2303050007,3,WE,1,2,1200
FA2303050009,3,WE,1,2,1201
FA2303050010,3,WE,1,2,1202
FA2303050011,3,WE,1,2.5,1203
FA2303050013,3,WE,1,2,1204
FA2303050014,3,WE,1,2,1205
FA2303050016,3,WE,1,2,1206
FA2303050017,3,WE,1,2,1207
FA2303050018,3,WE,1,2.5,1208
FA2303050020,3,WE,1,2,1209
FA2303050021,3,WE,1,2,1210
FA2303050089,3,WE,1,3,1211
FA2302190173,4,GP,1,3,1212
FA2302190174,4,GP,1,3,1213
FA2302220370,4,G,1,2.5,1214
FA2302220371,4,G,1,5,1215
FA2302220374,4,G,1,3,1216
FA2302220382,4,GP,1,5,1217
FA2302220386,4,GP,1,4,1218
FA2303050001,4,G,1,2,1219
FA2303050005,4,G,1,2,1220
FA2303050008,4,G,1,2,1221
FA2303050012,4,G,1,2,1222
FA2303050015,4,G,1,2,1223
FA2303050019,4,G,1,2,1224
FA2303070001,1,WE,1,9,1225
FA2303120078,1,EPM,1,0.01,1226
FA2302190122,2,M,1,1.5,1227
FA2302190123,2,M,1,1.5,1228
FA2302190170,2,M,1,1.8,1229
FA2302190172,2,M,1,1.8,1230
FA2302190182,2,M,1,2,1231
FA2302190183,2,M,1,2.5,1232
FA2302190190,2,M,1,1,1233
FA2302190191,2,M,1,1,1234
FA2302190192,2,M,1,1,1235
FA2302190193,2,M,1,5,1236
FA2302220387,2,M,1,1.2,1237
FA2302280249,2,M,1,5,1238
FA2302280258,2,M,1,4,1239
FA2302280259,2,M,1,4,1240
FA2302280260,2,M,1,3,1241
FA2302280304,2,M,1,3,1242
FA2302280306,2,M,1,3.5,1243
FA2303060034,2,EP,1,0.3,1244
FA2302190181,3,G,1,2.5,1245
FA2302190187,3,WE,1,1.5,1246
FA2302190188,3,WE,1,2,1247
FA2302190189,3,WE,1,6,1248
FA2302190195,3,WE,1,2.5,1249
FA2302190196,3,WE,1,2.5,1250
FA2302220363,3,WE,1,1.3,1251
FA2302220364,3,WE,1,1.3,1252
FA2302220365,3,WE,1,1.3,1253
FA2302220366,3,WE,1,1.3,1254
FA2302220367,3,WE,1,1.3,1255
FA2302220368,3,WE,1,2,1256
FA2303020368,3,GP,1,10,1257
FA2302190131,4,G,1,2,1258
FA2302190134,4,G,1,2,1259
FA2302190139,4,GP,1,1.3,1260
FA2302190141,4,G,1,1.3,1261
FA2302190142,4,G,1,1.3,1262
FA2302190150,4,G,1,1.5,1263
FA2302190151,4,G,1,1.5,1264
FA2302190155,4,G,1,1.3,1265
FA2302190156,4,G,1,1.3,1266
FA2302190157,4,G,1,1.3,1267
FA2302190158,4,G,1,1.3,1268
FA2302190159,4,G,1,1.5,1269
FA2302190165,4,G,1,1.5,1270
FA2302190184,4,GP,1,5,1271
FA2302210058,4,G,1,8,1272
FA2302210059,4,G,1,4,1273
FA2303020376,4,GP,1,6,1274
FA2302280254,2,M,1,2,1275
FA2302280255,2,M,1,2.5,1276
FA2302280256,2,M,1,4,1277
FA2302280257,2,M,1,2,1278
FA2302280270,2,M,1,1.5,1279
FA2302280272,2,M,1,1.6,1280
FA2302280273,2,M,1,2,1281
FA2302280274,2,M,1,2,1282
FA2302280275,2,M,1,2,1283
FA2302280276,2,M,1,2.5,1284
FA2302280279,2,M,1,1.2,1285
FA2302280280,2,M,1,1.5,1286
FA2302280281,2,M,1,2.5,1287
FA2302280282,2,M,1,2,1288
FA2302280283,2,M,1,1.5,1289
FA2302280284,2,M,1,2.5,1290
FA2302280285,2,M,1,1.5,1291
FA2302280286,2,M,1,3.5,1292
FA2302280287,2,M,1,4,1293
FA2302280290,2,M,1,1.5,1294
FA2302280291,2,M,1,2,1295
FA2302280296,2,M,1,4,1296
FA2302280297,2,M,1,4,1297
FA2302280303,2,M,1,3.5,1298
FA2302280308,2,M,1,3,1299
FA2302280309,2,M,1,3.5,1300
FA2302280317,2,M,1,1.2,1301
FA2302280314,4,GP,1,8,1302
FA2303130400,1,AW,1,2,1303
FA2303130439,1,AW,1,2,1304
FA2303130440,1,M,1,2,1305
FA2302280248,4,M,1,16,1306
FA2302280268,4,GP,1,5,1307
FA2303020371,4,G,1,16,1308
FA2302220162,5,CNC,1,16,1309
FA2302280154,5,CNC,1,3,1310
FA2302220172,2,GP,1,2,1311
FA2302280294,2,M,1,6,1312
FA2302280295,2,M,1,6,1313
FA2302280319,2,M,1,4,1314
FA2302280246,4,M,1,2,1315
FA2302280266,4,GP,1,6,1316
FA2302280267,4,GP,1,6,1317
FA2302280315,4,GP,1,4,1318
FA2303110047,4,G,1,1.3,1319
FA2303110052,4,G,1,1.3,1320
FA2302280311,5,CNC,1,16,1321
FA2303110048,5,CNC,1,1.5,1322
FA2303110051,5,CNC,1,1.5,1323
FA2302280289,2,M,1,3,1324
FA2302280292,2,M,1,3,1325
FA2302280293,2,M,1,2.5,1326
FA2302280298,2,M,1,1.5,1327
FA2302280299,2,M,1,1,1328
FA2302280300,2,M,1,1.5,1329
FA2302280301,2,M,1,1,1330
FA2302280310,2,M,1,2.5,1331
FA2302280318,2,M,1,2.5,1332
FA2302280244,3,WE,1,2.5,1333
FA2302280245,3,WE,1,2.5,1334
FA2302280247,3,GP,1,3,1335
FA2302280262,3,G,1,1.5,1336
FA2302280305,3,G,1,3,1337
FA2302280250,4,GP,1,1.5,1338
FA2302280251,4,GP,1,1.5,1339
FA2302280252,4,GP,1,1.5,1340
FA2302280253,4,GP,1,1.5,1341
FA2302280261,4,GP,1,1.5,1342
FA2302280263,4,GP,1,3,1343
FA2302280264,4,GP,1,3,1344
FA2302280265,4,GP,1,3,1345
FA2302280269,4,GP,1,3,1346
FA2302280271,4,G,1,1.3,1347
FA2302280277,4,G,1,0.8,1348
FA2302280278,4,G,1,1.5,1349
FA2302280288,4,GP,1,2.5,1350
FA2302280302,4,GP,1,1.5,1351
FA2302280307,4,G,1,3,1352
FA2302280316,4,G,1,1.3,1353
FA2303060101,4,CNC,1,5,1354
FA2303060102,4,CNC,1,5,1355
FA2303060106,4,CNC,1,5,1356
FA2301150126,1,EM,1,1,1357
FA2301180121,1,EM,1,2,1358
FA2301300188,1,AW,1,1,1359
FA2302010118,1,AW,1,1,1360
FA2302030003,1,EM,1,4,1361
FA2302100007,1,EM,1,2.5,1362
FA2302110001,1,EM,1,1,1363
FA2302120127,1,AW,1,1,1364
FA2302130141,1,AW,1,1.3,1365
FA2302130321,1,AW,1,0.8,1366
FA2302130414,1,EM,1,1.3,1367
FA2302140034,1,EM,1,1,1368
FA2302150154,1,AW,1,0.5,1369
FA2302170007,1,AW,1,0.5,1370
FA2302170526,1,AW,1,1,1371
FA2302180014,1,AW,1,1,1372
FA2302180100,1,EM,1,2,1373
FA2302190215,1,AW,1,1,1374
FA2302210076,1,AW,1,1,1375
FA2302210081,1,AW,1,0.9,1376
FA2302210092,1,AW,1,1,1377
FA2302220070,1,AW,1,1.5,1378
FA2302220221,1,EM,1,4,1379
FA2302220237,1,EM,1,3,1380
FA2302230096,1,EM,1,1,1381
FA2302230097,1,EM,1,1,1382
FA2302230203,1,AW,1,0.4,1383
FA2302240326,1,AW,1,1.5,1384
FA2302240412,1,EM,1,0.5,1385
FA2302060270,3,AW,1,0.8,1386
FA2302130107,3,EM,1,1.5,1387
FA2302220006,3,EM,1,1,1388
FA2205110001,4,MC,1,0.1,1389
FA2303060103,4,G,1,4,1390
FA2303050105,2,M,1,20,1391
FA2303110055,2,M,1,9,1392
FA2303060104,5,G,1,24,1393
FA2204080102,2,MC,1,1.5,1394
FA2303030058,2,GD,1,3.5,1395
FA2303050104,2,M,1,16,1396
FA2303050116,2,M,1,16,1397
FA2303050112,2,M,1,10,1398
FA2303050113,2,M,1,10,1399
FA2303110042,1,RM,1,0.2,1400
FA2303110041,1,RM,1,0.5,1401
FA2303110039,1,RM,1,0.5,1402
FA2303110040,1,RM,1,0.5,1403
FA2303130470,1,RM,1,0.3,1404
FA2303130461,1,RM,1,0.3,1405
FA2303110027,2,M,1,3.5,1406
FA2303110028,2,M,1,4,1407
FA2303050114,4,G,1,3,1408
FA2303050115,4,G,1,3,1409
FA2303100134,2,EP,1,1,1410
FA2303100135,2,EP,1,1,1411
FA2303100133,3,WE,1,16,1412
FA2303100136,3,WE,1,20,1413
FA2303100138,3,WE,1,4,1414
FA2303100139,3,WE,1,4,1415
FA2303010107,2,EP,1,0.5,1416
FA2302280076,1,G,1,16.5,1417
FA2302280077,1,G,1,16.5,1418
FA2303110034,1,RM,1,0.3,1419
FA2303110044,1,EPM,1,0.1,1420
FA2303110035,2,M,1,4,1421
FA2303110038,3,WE,1,7,1422
FA2303110043,3,WE,1,14,1423
FA2303110129,3,WE,1,7,1424
FA2303110130,3,WE,1,7,1425
FA2303050106,4,G,1,13,1426
FA2303050107,4,G,1,13,1427
FA2303050108,4,G,1,13,1428
FA2303050109,4,G,1,13,1429
FA2303110131,4,G,1,4,1430
FA2303110132,4,G,1,6,1431
FA2303110057,1,AW,1,0.5,1432
FA2303110061,1,AW,1,0.6,1433
FA2303110063,1,AW,1,0.6,1434
FA2303010108,2,M,1,3,1435
FA2303110062,2,ES,1,3,1436
FA2303110064,2,ES,1,2.5,1437
FA2303110065,2,CNC,1,2,1438
FA2303110066,2,ES,1,2,1439
FA2303110032,3,WE,1,2.5,1440
FA2303110033,3,WE,1,2.5,1441
FA2303110067,3,CNC,1,2.5,1442
FA2303050110,4,G,1,4,1443
FA2302270210,1,EM,1,2,1444
FA2303010169,1,EM,1,2.5,1445
FA2303070076,1,AW,1,0.5,1446
FA2303090063,1,ES,1,3,1447
FA2303090064,1,M,1,3,1448
FA2303090065,1,CNC,1,2.5,1449
FA2303090067,1,G,1,2,1450
FA2303090070,1,G,1,1,1451
FA2302240413,2,M,1,4,1452
FA2302270209,2,M,1,2,1453
FA2303010147,1,M,1,0.1,1454
FA2303010148,1,M,1,0.1,1455
FA2303010149,1,M,1,0.1,1456
FA2303010150,1,M,1,0.1,1457
FA2303010151,1,M,1,0.1,1458
FA2303010152,1,M,1,0.1,1459
FA2303130471,1,EPM,1,0.01,1460
FA2303130472,1,EPM,1,0.01,1461
FA2303130473,1,EPM,1,0.01,1462
FA2303130462,1,EPM,1,0.01,1463
FA2303130463,1,EPM,1,0.01,1464
FA2303130464,1,EPM,1,0.01,1465
FA2303130465,1,EPM,1,0.01,1466
FA2303130466,1,EPM,1,0.01,1467
FA2303130467,1,EPM,1,0.01,1468
FA2303130474,1,EPM,1,0.01,1469
FA2303130475,1,EPM,1,0.01,1470
